정류장명,정류장 번호,승차인원수,하차인원수,승차인원수(카드),하차인원수(카드),승차인원수(현금),일평균 승하차인원수
트루엘에코시티아파트,42047,2451,4617,2451,4617,0,235.6
트루엘에코시티아파트,89528,1840,1959,1840,1959,0,126.63
트루엘에코시티아파트(후문),42049,1861,1366,1861,1366,0,107.57
트루엘에코시티아파트(후문),42050,1899,1296,1899,1296,0,106.5
파라곤보타닉파크,89422,2424,794,2424,794,0,107.27
파라곤보타닉파크(고산터널),89395,6502,6702,6502,6702,0,440.13
파라다이스공원,43391,128,19,126,19,2,4.9
파라다이스공원,43828,15,144,15,144,0,5.3
파크골프장후문,35944,86,17,82,17,4,3.43
팔도주유소,40175,333,396,333,396,0,24.3
팔도주유소,40774,11060,6901,11060,6901,0,598.7
패션단지,18780,246,6,246,6,0,8.4
팬더아파트,39968,382,2,382,2,0,12.8
팬더아파트,39980,1,294,1,294,0,9.83
펜션마을,90392,1,2,1,2,0,0.1
펜션마을,90393,2,0,2,0,0,0.07
평산기공,39138,3371,8879,3371,8879,0,408.33
평전,43258,1,80,1,80,0,2.7
평화전망대,43743,37,99,37,99,0,4.53
평화전망대,43760,1,3,1,3,0,0.13
포내교회,35874,8,2,8,2,0,0.33
포내교회,35875,3,28,2,28,1,1.03
포도마을,55039,2722,3597,2722,3597,0,210.63
포도마을사거리.현대백화점.이마트,55055,10393,9450,10393,9450,0,661.43
포도밭,43939,12,7,11,7,1,0.63
포도밭,43940,9,17,9,17,0,0.87
포레나루원시티아파트,42980,387,509,387,509,0,29.87
포레나루원시티아파트,42981,7,537,7,537,0,18.13
포레시안101동앞,39729,6316,5519,6316,5519,0,394.5
포레시안101동앞,39730,4619,3969,4619,3969,0,286.27
포스코타워앤쉐라톤호텔,38491,3221,2097,3221,2097,0,177.27
푸르지오더베뉴(3216동),89442,1083,1808,1083,1808,0,96.37
푸르지오더베뉴후문,89423,1236,2214,1236,2214,0,115
푸르지오더스카이,35844,5112,2606,5112,2606,0,257.27
푸르지오더스카이,35845,2810,3290,2810,3290,0,203.33
푸르지오더스카이256동,35508,128,17,128,17,0,4.83
푸르지오더스카이256동,35509,41,223,41,223,0,8.8
푸르지오월드마크,38471,8840,15498,8840,15498,0,811.27
푸르지오하버뷰,38456,270,711,270,711,0,32.7
푸르지오하버뷰,38522,1465,3076,1465,3076,0,151.37
푸른나래사거리.영종복합문화센터,35950,8,1,8,1,0,0.3
푸른나래사거리.영종복합문화센터,35951,1,12,1,12,0,0.43
풍류산,90129,0,32,0,32,0,1.07
풍류산,90130,32,0,32,0,0,1.07
풍림1단지정문,70007,6,766,6,766,0,25.73
풍림1차205동,35255,3628,8144,3628,8144,0,392.4
풍림1차205동,35256,11152,4869,11150,4869,2,534.03
