운행일자,정산사업자,정류장아이디,교통수단구분,정류장명,시도코드(법정동),시도명(법정동),시군구코드(법정동),시군구명(법정동),읍면동코드(법정동),읍면동명(법정동),모바일아이디
2025-06-13,마이비,4366161,버스,부용외천1리_외천초교,43,충청북도,43112,청주시 서원구,4311231040,남이면,정보없음
2025-06-13,마이비,4366171,버스,외천2리,43,충청북도,43112,청주시 서원구,4311231022,남이면,정보없음
2025-06-13,마이비,4366181,버스,남이외천삼거리(외천3리),43,충청북도,43112,청주시 서원구,4311231022,남이면,정보없음
2025-06-13,마이비,4366191,버스,LH충북지역본부_성화다안채6단지아파트,43,충청북도,43112,청주시 서원구,4311210800,성화동,정보없음
2025-06-13,마이비,4366201,버스,남이면행정복지센터,43,충청북도,43112,청주시 서원구,4311231022,남이면,정보없음
2025-06-13,마이비,4366211,버스,척산1리,43,충청북도,43112,청주시 서원구,4311231021,남이면,정보없음
2025-06-13,마이비,4366221,버스,척산3리,43,충청북도,43112,청주시 서원구,4311231021,남이면,정보없음
2025-06-13,마이비,4366241,버스,수대리,43,충청북도,43112,청주시 서원구,4311231039,남이면,정보없음
2025-06-13,마이비,4366251,버스,성화휴먼시아1단지,43,충청북도,43112,청주시 서원구,4311210800,성화동,정보없음
2025-06-13,마이비,4366261,버스,남이초등학교,43,충청북도,43112,청주시 서원구,4311231035,남이면,정보없음
2025-06-13,마이비,4366271,버스,가좌리,43,충청북도,43112,청주시 서원구,4311231036,남이면,정보없음
2025-06-13,마이비,4366281,버스,양촌리,43,충청북도,43112,청주시 서원구,4311231037,남이면,정보없음
2025-06-13,마이비,4366291,버스,양촌1리,43,충청북도,43112,청주시 서원구,4311231037,남이면,정보없음
2025-06-13,마이비,4366301,버스,양촌3리,43,충청북도,43112,청주시 서원구,4311231037,남이면,정보없음
2025-06-13,마이비,4366321,버스,옥산산업단지제5승강장,43,충청북도,43113,청주시 흥덕구,4311332035,옥산면,정보없음
2025-06-13,마이비,4366331,버스,미평,43,충청북도,43112,청주시 서원구,4311231038,남이면,정보없음
2025-06-13,마이비,4366341,버스,이마트,43,충청북도,43112,청주시 서원구,4311210500,미평동,정보없음
2025-06-13,마이비,4366351,버스,청주교도소,43,충청북도,43112,청주시 서원구,4311210500,미평동,정보없음
2025-06-13,마이비,4366361,버스,비하삼일아파트,43,충청북도,43113,청주시 흥덕구,4311311400,복대동,정보없음
2025-06-13,마이비,4366371,버스,영조1차아파트_비하새동네,43,충청북도,43113,청주시 흥덕구,4311311400,복대동,정보없음
2025-06-13,마이비,4366381,버스,비하종점,43,충청북도,43113,청주시 흥덕구,4311313800,비하동,정보없음
2025-06-13,마이비,4366391,버스,청주국제공항,43,충청북도,43114,청주시 청원구,4311425040,내수읍,정보없음
2025-06-13,마이비,4366401,버스,청주공항역,43,충청북도,43114,청주시 청원구,4311425040,내수읍,정보없음
2025-06-13,마이비,4366411,버스,국제공항입구,43,충청북도,43114,청주시 청원구,4311411200,외평동,정보없음
2025-06-13,마이비,4366421,버스,오근장역,43,충청북도,43114,청주시 청원구,4311411100,외남동,정보없음
2025-06-13,마이비,4366431,버스,외평동,43,충청북도,43114,청주시 청원구,4311411100,외남동,정보없음
2025-06-13,마이비,4366441,버스,오근장동행정복지센터,43,충청북도,43114,청주시 청원구,4311410600,주중동,정보없음
2025-06-13,마이비,4366451,버스,북일초등학교,43,충청북도,43114,청주시 청원구,4311410600,주중동,정보없음
2025-06-13,마이비,4366481,버스,북일초등학교,43,충청북도,43114,청주시 청원구,4311410600,주중동,정보없음
2025-06-13,마이비,4366491,버스,오근장동행정복지센터,43,충청북도,43114,청주시 청원구,4311410600,주중동,정보없음
2025-06-13,마이비,4366501,버스,외평동,43,충청북도,43114,청주시 청원구,4311411100,외남동,정보없음
2025-06-13,마이비,4366511,버스,오근장역,43,충청북도,43114,청주시 청원구,4311411100,외남동,정보없음
2025-06-13,마이비,4366541,버스,신봉동,43,충청북도,43113,청주시 흥덕구,4311310500,신봉동,정보없음
2025-06-13,마이비,4366551,버스,우림필유아파트,43,충청북도,43113,청주시 흥덕구,4311310500,신봉동,정보없음
2025-06-13,마이비,4366561,버스,신봉삼성아파트,43,충청북도,43113,청주시 흥덕구,4311310500,신봉동,정보없음
2025-06-13,마이비,4366571,버스,청주농업고등학교,43,충청북도,43114,청주시 청원구,4311410200,내덕동,정보없음
2025-06-13,마이비,4366581,버스,남청주IC,43,충청북도,43112,청주시 서원구,4311231040,남이면,정보없음
2025-06-13,마이비,4366591,버스,듬배,43,충청북도,43112,청주시 서원구,4311231040,남이면,정보없음
2025-06-13,마이비,4366751,버스,듬배,43,충청북도,43112,청주시 서원구,4311231040,남이면,정보없음
2025-06-13,마이비,4366771,버스,율량LH1단지아파트,43,충청북도,43114,청주시 청원구,4311410600,주중동,정보없음
2025-06-13,마이비,4366791,버스,차량등록사업소_장애인종합복지관,43,충청북도,43113,청주시 흥덕구,4311310500,신봉동,정보없음
2025-06-13,마이비,4366831,버스,구미리,43,충청북도,43112,청주시 서원구,4311231027,남이면,정보없음
2025-06-13,마이비,4366841,버스,갈원리,43,충청북도,43112,청주시 서원구,4311231029,남이면,정보없음
2025-06-13,마이비,4366861,버스,사동2리,43,충청북도,43112,청주시 서원구,4311231029,남이면,정보없음
